Urban Village/Village,Subdistrict,Regency_City,Province,Longitude,Latitude,Elevation,Slope,Aspect,HillShade,Rainfall,LandCover,NDVI,NDWI,NDVI_Change,LST,PopulationDensity,SoilMoisture,Prediction,GroundTruth
,,Bogor,Jawa Barat,107.042377,-6.632154293,741,18.06698608,333.2807617,205,4463.908443,10,0.110695533,-0.099658459,-0.099560879,298.7893333,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,106.5413972,-6.598142529,285,1.315818906,225.1903687,183,4717.90058,80,0.132809803,-0.09449558,0.044954509,301.2685714,2169.93335,24.68156052,,
,,Bogor,Jawa Barat,107.0317509,-6.492344201,194,7.880733967,339.3224792,189,3944.766278,10,0.205782428,-0.163470015,-0.191209182,302.6978947,2169.93335,24.33442307,,
,,Bogor,Jawa Barat,107.2087124,-6.629814769,421,22.11152267,331.2276306,213,4293.915337,10,0.266009837,-0.213605285,-0.227715015,299.8573913,673.958252,24.56854439,,
,,Bogor,Jawa Barat,106.9155174,-6.464602115,114,2.932303429,161.4551239,177,3902.867429,50,0.14070949,-0.113837488,-0.076277375,305.7633333,2169.933838,23.97134209,,
,,Bogor,Jawa Barat,106.5799768,-6.50318764,511,6.724499226,196.0433655,186,4811.533836,10,0.154522613,-0.136005178,-0.137763783,298.6322222,2169.93335,24.37637138,,
,,Bogor,Jawa Barat,107.1479007,-6.655500534,267,21.06440353,337.6148682,205,4048.156544,10,0.265091836,-0.211940601,-0.276586294,301.065,2169.93335,24.70723724,,
,,Bogor,Jawa Barat,106.642696,-6.51399603,125,2.932332277,198.5465546,183,4875.822246,10,0.142958611,-0.113734894,-0.137105972,301.4113043,2169.933594,24.28586388,,
,,Bogor,Jawa Barat,106.9233448,-6.404681575,82,2.07563591,153.2911987,177,3390.891127,10,0.121813737,-0.090177491,-0.147929855,305.536,7709.429688,23.97134209,,
,,Bogor,Jawa Barat,106.9680984,-6.526256076,417,6.571310997,261.921875,201,3702.62091,10,0.19317697,-0.153887406,-0.201231644,299.98,2169.933838,24.44981956,,
,,Bogor,Jawa Barat,106.4759347,-6.734141005,1613,9.257922173,90,151,5290.105481,10,0.035927165,-0.048853248,-0.023811195,293.86,468.7270203,25.10935974,,
,,Bogor,Jawa Barat,106.9424309,-6.583715565,374,31.65969658,13.75862885,158,4307.002588,10,0.176676109,-0.154382646,-0.17366226,300.7431579,2169.933838,24.99391365,,
,,Bogor,Jawa Barat,107.0260905,-6.597587487,450,11.48298359,28.77078056,163,4174.501218,40,0.145733267,-0.133810267,-0.073663756,301.3075,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,106.4790285,-6.704381098,1480,23.8169632,143.7854156,137,5290.105481,10,0.048720315,-0.061330687,-0.007613055,294.2,2169.93335,25.10935974,,
,,Bogor,Jawa Barat,106.62864,-6.593675212,273,7.606289864,345.8740234,186,5065.836217,10,0.183675081,-0.138214305,-0.193596035,301.3965217,2169.93335,24.59807205,,
,,Bogor,Jawa Barat,107.0500239,-6.596688692,635,19.72298241,270,241,4174.501218,10,0.165158793,-0.1348048,-0.281381235,299.4188889,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,107.0997387,-6.462358543,97,6.505849361,90,160,3705.601015,10,0.222686082,-0.173069835,-0.192905903,303.5263636,2169.933838,23.69943047,,
,,Bogor,Jawa Barat,106.4883505,-6.655012868,813,10.52191162,74.84292603,149,5483.020934,10,0.141568303,-0.118894063,-0.100811958,298.92,2169.93335,24.68156052,,
,,Bogor,Jawa Barat,106.8822492,-6.518300291,182,4.162133217,296.4167175,192,4368.204619,10,0.165643141,-0.134521097,-0.131632045,303.9978947,2169.933594,24.44981956,,
,,Bogor,Jawa Barat,106.6736522,-6.43382349,95,2.07565999,333.2898865,183,4132.018557,10,0.168939605,-0.136274412,-0.262581035,303.8117647,2169.933594,23.93191147,,
,,Bogor,Jawa Barat,106.6958616,-6.61565559,351,2.630298138,45.19138718,174,5074.582198,10,0.164851829,-0.129690856,-0.155818567,303.19,2169.933594,24.59807205,,
,,Bogor,Jawa Barat,106.6034261,-6.595808215,313,9.240818977,5.748388767,177,5065.836217,10,0.224419817,-0.177248001,-0.146002427,300.8961905,2169.933594,24.59807205,,
,,Bogor,Jawa Barat,106.4666243,-6.51601261,181,4.747967243,258.761261,195,4737.695574,10,0.187696785,-0.159740239,-0.266731977,301.3375,2169.933594,24.37637138,,
,,Bogor,Jawa Barat,107.0250064,-6.634112425,755,19.33714867,326.1320496,214,4463.908443,10,0.111341454,-0.093059607,-0.061353274,299.0458824,2169.933838,24.70723724,,
,,Bogor,Jawa Barat,107.0569668,-6.527932939,306,18.23534584,278.4762573,236,3766.006825,10,0.199603721,-0.16625005,-0.143600926,302.0929412,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.4870569,-6.67866942,1141,27.56282234,334.0776062,217,5483.020934,10,0.103306875,-0.092778534,-0.012594856,296.2242857,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.6260257,-6.421193171,73,5.657899857,279.4040222,198,4032.633805,60,0.07361345,-0.036867652,-0.077609643,302.7811111,2169.933594,23.93191147,,
,,Bogor,Jawa Barat,106.6235529,-6.362778188,54,2.083303928,116.4237061,174,3466.906836,10,0.116010934,-0.0906078,-0.152912825,304.0273684,5204.139648,23.5512085,,
,,Bogor,Jawa Barat,106.948821,-6.728716877,1342,27.95031166,252.2366791,255,4639.923124,10,0.05037168,-0.050099421,-0.01290236,295.77,2169.933594,24.85513115,,
,,Bogor,Jawa Barat,106.8655705,-6.606681449,293,6.762402058,254.1551514,201,4717.314474,10,0.211678773,-0.171619549,-0.140328109,302.8093333,2169.93335,24.52278519,,
,,Bogor,Jawa Barat,106.5632484,-6.612846352,844,24.32089043,307.5093689,239,5135.607489,10,0.115917876,-0.101438224,-0.051660448,298.9842105,2169.933594,24.68156052,,
,,Bogor,Jawa Barat,106.4164173,-6.487904079,124,2.932317019,18.54566383,177,4385.346212,10,0.25516519,-0.208288863,-0.192914456,300.7883333,2169.933594,24.20027351,,
,,Bogor,Jawa Barat,106.7019022,-6.670073909,690,10.79190731,250.1415405,212,5708.007169,30,0.142912328,-0.11349009,-0.054393888,299.9894737,2169.933594,25.1151371,,
,,Bogor,Jawa Barat,106.5061998,-6.360072889,54,1.854334116,180,180,3668.18868,40,0.117587961,-0.107400045,-0.127418883,302.9454545,2169.933594,23.15823936,,
,,Bogor,Jawa Barat,106.5506059,-6.563782094,329,7.483408451,97.07878876,157,5091.43078,10,0.288728088,-0.216297477,-0.11606741,300.9382609,2169.933838,24.68156052,,
,,Bogor,Jawa Barat,106.4562013,-6.601154843,663,10.49991417,52.30957031,154,5171.911108,10,0.152737811,-0.122915238,-0.181806549,299.279,2169.93335,24.68156052,,
,,Bogor,Jawa Barat,106.490774,-6.587778765,581,21.38275337,253.1779175,243,4954.823897,10,0.169832051,-0.144786358,-0.201596528,299.9017391,2169.933594,24.68156052,,
,,Bogor,Jawa Barat,107.1091162,-6.63925832,460,14.76609516,349.3103027,189,3892.560365,10,0.243553489,-0.191686422,-0.098846525,300.97,2169.933838,24.70723724,,
,,Bogor,Jawa Barat,107.0527383,-6.511053636,155,2.083791733,116.417038,174,3766.006825,40,0.176061749,-0.130300954,-0.042954221,303.0355556,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.6377779,-6.555213246,160,5.659357071,99.40156555,163,5065.836217,10,0.160894722,-0.141817033,-0.116638333,301.975,2169.933594,24.28586388,,
